Publication_Date,Newspaper_Name,Article_Title,Page_Number,Location,Keyword_Matches,Source_URL,Time_Period,Content_Preview
1870-07-09,Unknown,San Francisco Chronicle,3,"San Francisco, California",13,,1870_Apr_Jun,
1870-07-08,Unknown,San Francisco Chronicle,2,"San Francisco, California",13,,1870_Apr_Jun,
1870-08-20,Unknown,San Francisco Chronicle,3,"San Francisco, California",11,,1870_Apr_Jun,
1870-07-01,Unknown,The San Francisco Examiner,2,"San Francisco, California",10,,1870_Apr_Jun,
1870-06-17,Unknown,Appeal-Democrat,4,"Marysville, California",9,,1870_Apr_Jun,
1870-06-18,Unknown,Daily Evening Herald,1,"Stockton, California",9,,1870_Apr_Jun,
1870-08-10,Unknown,San Francisco Chronicle,3,"San Francisco, California",8,,1870_Apr_Jun,
1870-07-09,Unknown,The San Francisco Examiner,3,"San Francisco, California",8,,1870_Apr_Jun,
1870-06-16,Unknown,San Francisco Chronicle,3,"San Francisco, California",7,,1870_Apr_Jun,
1870-08-11,Unknown,San Francisco Chronicle,3,"San Francisco, California",7,,1870_Apr_Jun,
1870-07-30,Unknown,San Francisco Chronicle,3,"San Francisco, California",7,,1870_Apr_Jun,
1870-07-28,Unknown,San Francisco Chronicle,3,"San Francisco, California",7,,1870_Apr_Jun,
1870-07-13,Unknown,The San Francisco Call Bulletin,1,"San Francisco, California",7,,1870_Apr_Jun,
1870-08-10,Unknown,The San Francisco Examiner,3,"San Francisco, California",7,,1870_Apr_Jun,
1870-08-27,Unknown,San Francisco Chronicle,2,"San Francisco, California",6,,1870_Apr_Jun,
1870-08-12,Unknown,San Francisco Chronicle,2,"San Francisco, California",6,,1870_Apr_Jun,
1870-08-17,Unknown,The San Francisco Call Bulletin,3,"San Francisco, California",6,,1870_Apr_Jun,
1870-07-09,Unknown,The San Francisco Call Bulletin,3,"San Francisco, California",6,,1870_Apr_Jun,
1870-06-17,Unknown,The San Francisco Call Bulletin,3,"San Francisco, California",6,,1870_Apr_Jun,
1870-09-30,Unknown,The San Francisco Examiner,2,"San Francisco, California",6,,1870_Apr_Jun,
1870-09-06,Unknown,The San Francisco Examiner,3,"San Francisco, California",6,,1870_Apr_Jun,
1870-08-30,Unknown,The San Francisco Examiner,2,"San Francisco, California",6,,1870_Apr_Jun,
1870-07-23,Unknown,The San Francisco Examiner,3,"San Francisco, California",6,,1870_Apr_Jun,
1870-07-14,Unknown,The San Francisco Examiner,3,"San Francisco, California",6,,1870_Apr_Jun,
1870-06-30,Unknown,San Francisco Chronicle,3,"San Francisco, California",5,,1870_Apr_Jun,
1870-08-07,Unknown,San Francisco Chronicle,4,"San Francisco, California",5,,1870_Apr_Jun,
1870-07-23,Unknown,San Francisco Chronicle,3,"San Francisco, California",5,,1870_Apr_Jun,
1870-07-10,Unknown,San Francisco Chronicle,3,"San Francisco, California",5,,1870_Apr_Jun,
1870-07-06,Unknown,San Francisco Chronicle,3,"San Francisco, California",5,,1870_Apr_Jun,
1870-07-06,Unknown,San Francisco Chronicle,2,"San Francisco, California",5,,1870_Apr_Jun,
1870-01-12,Unknown,San Francisco Chronicle,3,"San Francisco, California",5,,1870_Apr_Jun,
