Publication_Date,Newspaper_Name,Article_Title,Page_Number,Location,Keyword_Matches,Source_URL,Newspaper_Edition,Content_Preview
1870-07-09,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",13,,,
1870-07-08,San Francisco Chronicle,San Francisco Chronicle,2,"San Francisco, California",13,,,
1870-08-20,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",11,,,
1870-07-01,The San Francisco Examiner,The San Francisco Examiner,2,"San Francisco, California",10,,,
1870-06-17,Appeal-Democrat,Appeal-Democrat,4,"Marysville, California",9,,,
1870-06-18,Daily Evening Herald,Daily Evening Herald,1,"Stockton, California",9,,,
1870-08-10,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",8,,,
1870-07-09,The San Francisco Examiner,The San Francisco Examiner,3,"San Francisco, California",8,,,
1870-06-16,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",7,,,
1870-08-11,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",7,,,
1870-07-30,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",7,,,
1870-07-28,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",7,,,
1870-07-13,The San Francisco Call Bulletin,The San Francisco Call Bulletin,1,"San Francisco, California",7,,,
1870-08-10,The San Francisco Examiner,The San Francisco Examiner,3,"San Francisco, California",7,,,
1870-08-27,San Francisco Chronicle,San Francisco Chronicle,2,"San Francisco, California",6,,,
1870-08-12,San Francisco Chronicle,San Francisco Chronicle,2,"San Francisco, California",6,,,
1870-08-17,The San Francisco Call Bulletin,The San Francisco Call Bulletin,3,"San Francisco, California",6,,,
1870-07-09,The San Francisco Call Bulletin,The San Francisco Call Bulletin,3,"San Francisco, California",6,,,
1870-06-17,The San Francisco Call Bulletin,The San Francisco Call Bulletin,3,"San Francisco, California",6,,,
1870-09-30,The San Francisco Examiner,The San Francisco Examiner,2,"San Francisco, California",6,,,
1870-09-06,The San Francisco Examiner,The San Francisco Examiner,3,"San Francisco, California",6,,,
1870-08-30,The San Francisco Examiner,The San Francisco Examiner,2,"San Francisco, California",6,,,
1870-07-23,The San Francisco Examiner,The San Francisco Examiner,3,"San Francisco, California",6,,,
1870-07-14,The San Francisco Examiner,The San Francisco Examiner,3,"San Francisco, California",6,,,
1870-06-30,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",5,,,
1870-08-07,San Francisco Chronicle,San Francisco Chronicle,4,"San Francisco, California",5,,,
1870-07-23,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",5,,,
1870-07-10,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",5,,,
1870-07-06,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",5,,,
1870-07-06,San Francisco Chronicle,San Francisco Chronicle,2,"San Francisco, California",5,,,
1870-01-12,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",5,,,
1870-07-30,The San Francisco Call Bulletin,The San Francisco Call Bulletin,3,"San Francisco, California",5,,,
1870-07-15,The San Francisco Call Bulletin,The San Francisco Call Bulletin,3,"San Francisco, California",5,,,
1870-07-03,Daily Miner-Transcript,Daily Miner-Transcript,2,"Nevada City, California",5,,,
1870-08-01,The Sacramento Bee,The Sacramento Bee,3,"Sacramento, California",5,,,
1870-11-21,The San Francisco Examiner,The San Francisco Examiner,3,"San Francisco, California",5,,,
1870-10-01,The San Francisco Examiner,The San Francisco Examiner,2,"San Francisco, California",5,,,
1870-08-12,The San Francisco Examiner,The San Francisco Examiner,3,"San Francisco, California",5,,,
1870-08-09,The San Francisco Examiner,The San Francisco Examiner,3,"San Francisco, California",5,,,
1870-07-30,The San Francisco Examiner,The San Francisco Examiner,4,"San Francisco, California",5,,,
1870-07-05,The San Francisco Examiner,The San Francisco Examiner,3,"San Francisco, California",5,,,
1870-02-01,The San Francisco Examiner,The San Francisco Examiner,2,"San Francisco, California",5,,,
1870-06-29,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",4,,,
1870-08-18,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",4,,,
1870-03-10,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",4,,,
1870-08-09,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",4,,,
1870-08-07,San Francisco Chronicle,San Francisco Chronicle,6,"San Francisco, California",4,,,
1870-08-02,San Francisco Chronicle,San Francisco Chronicle,4,"San Francisco, California",4,,,
1870-07-31,San Francisco Chronicle,San Francisco Chronicle,5,"San Francisco, California",4,,,
1870-07-31,San Francisco Chronicle,San Francisco Chronicle,4,"San Francisco, California",4,,,
1870-07-13,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",4,,,
1870-07-12,San Francisco Chronicle,San Francisco Chronicle,3,"San Francisco, California",4,,,
1870-07-05,San Francisco Chronicle,San Francisco Chronicle,2,"San Francisco, California",4,,,
1870-08-19,The San Francisco Call Bulletin,The San Francisco Call Bulletin,3,"San Francisco, California",4,,,
1870-08-12,The San Francisco Call Bulletin,The San Francisco Call Bulletin,3,"San Francisco, California",4,,,
1870-08-10,The San Francisco Call Bulletin,The San Francisco Call Bulletin,1,"San Francisco, California",4,,,
1870-08-09,The San Francisco Call Bulletin,The San Francisco Call Bulletin,2,"San Francisco, California",4,,,
1870-03-10,The San Francisco Call Bulletin,The San Francisco Call Bulletin,1,"San Francisco, California",4,,,
1870-01-28,The San Francisco Call Bulletin,The San Francisco Call Bulletin,1,"San Francisco, California",4,,,
1870-10-08,The Shasta Courier,The Shasta Courier,2,"Shasta, California",4,,,
1870-09-03,The Shasta Courier,The Shasta Courier,1,"Shasta, California",4,,,
